Sr.No,Symbol,Segment,Quantity Traded,Deliverable Quantity,% of Deliverable Quantity
1074,PAGEIND,EQ,38565,22247,57.69
1075,PAISALO,EQ,345,193,55.94
1076,PALASHSECU,EQ,44,44,100.00
1077,PALREDTEC,EQ,577,577,100.00
1078,PANACEABIO,EQ,53864,27638,51.31
1079,PANACHE,EQ,71,40,56.34
1080,PANAMAPET,EQ,6283,5196,82.70
1081,PAPERPROD,EQ,19982,8488,42.48
1082,PARACABLES,EQ,71134,65658,92.30
1083,PARAGMILK,EQ,75049,48444,64.55
1084,PATELENG,EQ,87035,60818,69.88
1085,PATINTLOG,EQ,6559,5398,82.30
1086,PDMJEPAPER,EQ,30867,22651,73.38
1087,PDSMFL,EQ,239,103,43.10
1088,PEARLPOLY,EQ,487,487,100.00
1089,PEL,EQ,2289178,254290,11.11
1090,PENIND,EQ,99813,70281,70.41
1091,PERFECT,SM,24000,24000,100.00
1092,PERSISTENT,EQ,55688,32133,57.70
1093,PETRONET,EQ,2129759,547837,25.72
1094,PFC,EQ,10245618,4192054,40.92
1095,PFC,N4,180,100,55.56
1096,PFC,N8,555,455,81.98
1097,PFIZER,EQ,41404,17293,41.77
1098,PFOCUS,EQ,65035,40423,62.16
1099,PFS,EQ,192130,111418,57.99
1100,PGEL,EQ,15316,11483,74.97
1101,PGHH,EQ,956,600,62.76
1102,PGHL,EQ,9705,5876,60.55
1103,PGIL,EQ,8469,5097,60.18
1104,PHILIPCARB,EQ,2181085,747043,34.25
1105,PHOENIXLTD,EQ,329540,284790,86.42
1106,PIDILITIND,EQ,636230,118543,18.63
1107,PIGL,SM,4000,4000,100.00
1108,PIIND,EQ,91594,61281,66.91
1109,PILANIINVS,EQ,654,103,15.75
1110,PILITA,EQ,17431,15534,89.12
1111,PIONEEREMB,EQ,2995,2022,67.51
1112,PITTIENG,EQ,706,527,74.65
1113,PLASTIBLEN,EQ,3954,2579,65.23
1114,PNB,EQ,27657300,4185368,15.13
1115,PNBGILTS,EQ,232782,130554,56.08
1116,PNBHOUSING,EQ,239795,157529,65.69
