Date,Symbol,Open,High,Low,Close,Volume,Deliverable Volume,VWAP
2020-03-18,TCS,1676.8,1713.55,1627.75,1654.4,7259111,4565294,1667.41
2020-03-19,TCS,1559.7,1685.45,1546.75,1636.35,5135162,2515229,1622.31
2020-03-20,TCS,1630.0,1869.0,1627.0,1797.45,8547645,3868118,1787.53
2020-03-23,TCS,1620.0,1750.0,1617.75,1669.7,7003558,4237215,1687.63
2020-03-24,TCS,1653.05,1770.0,1632.85,1703.15,6354209,3520631,1716.94
2020-03-25,TCS,1700.0,1810.0,1680.0,1750.3,2765527,1152908,1735.21
2020-03-26,TCS,1831.6,1832.05,1722.55,1790.95,4556071,2650292,1783.59
2020-03-27,TCS,1820.0,1850.0,1750.4,1824.5,4331310,2319309,1796.8
2020-03-30,TCS,1766.0,1905.0,1763.55,1778.5,8513608,5214886,1813.46
2020-03-31,TCS,1837.4,1855.0,1780.0,1826.1,3927593,1752624,1824.45
2020-04-01,TCS,1825.9,1834.75,1702.0,1708.75,4941898,2619484,1763.66
2020-04-03,TCS,1740.0,1740.0,1650.0,1654.2,5735529,2453808,1688.3
2020-04-07,TCS,1710.0,1785.85,1705.0,1775.2,5427965,3020094,1747.2
2020-04-08,TCS,1760.0,1806.0,1701.0,1705.45,6285616,2533692,1736.76
2020-04-09,TCS,1750.45,1778.8,1731.2,1766.15,5307649,2682616,1759.13
2020-04-13,TCS,1761.0,1787.0,1746.0,1759.25,2990478,1242289,1761.05
2020-04-15,TCS,1785.0,1812.0,1727.8,1735.15,4761401,2136320,1774.09
2020-04-16,TCS,1709.95,1764.9,1675.05,1716.05,6245583,2110034,1720.54
2020-04-17,TCS,1800.0,1851.95,1753.0,1806.2,9895825,3217550,1815.31
2020-04-20,TCS,1830.0,1830.0,1802.5,1818.65,3244293,1407671,1815.63
2020-04-21,TCS,1765.0,1794.6,1727.7,1737.65,5122606,2457408,1749.84
2020-04-22,TCS,1737.65,1790.0,1719.15,1769.5,3829839,1518445,1754.72
2020-04-23,TCS,1780.0,1900.0,1760.85,1878.25,5934424,2087199,1844.03
2020-04-24,TCS,1840.7,1851.95,1807.8,1818.55,2987150,1103567,1825.54
2020-04-27,TCS,1832.3,1875.0,1825.0,1836.6,3374747,1333349,1853.6
2020-04-28,TCS,1865.0,1868.0,1832.6,1859.05,2678512,1119539,1851.06
2020-04-29,TCS,1874.0,1912.55,1850.05,1905.65,4241579,1705279,1882.9
2020-04-30,TCS,1980.0,2032.0,1942.2,2014.45,5915950,2636626,1989.49
2020-05-04,TCS,1966.0,1966.0,1913.65,1930.45,3729409,1752041,1939.3
2020-05-05,TCS,1955.1,1977.0,1927.0,1932.75,2905541,1095381,1952.86
2020-05-06,TCS,1939.8,1953.7,1893.6,1903.6,3517432,1154410,1920.77
2020-05-07,TCS,1910.0,1934.45,1883.35,1891.65,3166784,941078,1909.43
2020-05-08,TCS,1939.1,1939.5,1886.25,1893.4,2686536,858746,1902.14
2020-05-11,TCS,1909.0,1951.4,1909.0,1935.3,2449846,738177,1939.47
2020-05-12,TCS,1933.4,1956.5,1910.25,1949.5,3256630,992103,1941.23
2020-05-13,TCS,1994.0,1994.0,1925.65,1949.65,2656665,938030,1946.67
2020-05-14,TCS,1910.0,1923.1,1891.1,1902.35,2263204,931246,1905.48
2020-05-15,TCS,1916.0,1917.4,1865.2,1892.9,3173682,1312065,1884.25
2020-05-18,TCS,1907.0,1952.95,1872.1,1945.6,3727896,1140903,1921.1
